,Nome_UF,Codigo,Nome_Município,capital,latitude,longitude,pop_25_ens_fundamental2010,indicetheil2010,pop_dom_paredesnaoalvenaria2010,pop_25_ens_medio2010,expect_anos_estudo2010,pop_dom_aguaencanada2010,df_pop_dom_energia_eletrica2010,pop_dom_coleta_lixo2010,pop_25_ens_superior2010,razaodependencia2010,esperanca_ao_nascer2010,tx_mortalidadeate_5anos2010,tx_fecundidade2010,perc_vulneraiveispobreza2010,pop_dom_agua_esgoto_inadequado2010,perc_pobres2010,tx_analfabetismo2010,tx_envelhecimento2010,perc_extrem_pobre2010,idhm2010,idhm_edu2010,idhm_long2010,idhm_renda2010,indice_gini2010
0,Rondônia,1100015,Alta Floresta D'Oeste,0,-11.9283,-61.9953,29.39,0.6,7.18,19.19,8.67,93.69,93.98,94.05,5.51,47.37,70.75,25.49,2.24,47.12,9.31,26.04,11.99,5.84,14.29,0.641,0.526,0.763,0.657,0.58
1,Rondônia,1100379,Alto Alegre dos Parecis,0,-12.132,-61.835,20.88,0.51,1.79,12.18,9.46,93.59,91.11,92.79,3.14,52.06,71.64,22.91,2.69,55.19,15.73,33.84,13.53,4.86,21.1,0.592,0.443,0.777,0.603,0.54
2,Rondônia,1100403,Alto Paraíso,0,-9.71429,-63.3188,24.49,0.54,6.83,13.51,7.61,95.29,97.06,87.49,3.02,53.17,73.22,18.7,2.93,43.91,15.58,18.03,11.81,4.92,8.34,0.625,0.457,0.804,0.664,0.54
3,Rondônia,1100346,Alvorada D'Oeste,0,-11.3463,-62.2847,30.28,0.54,3.74,19.2,9.78,94.31,98.06,95.35,5.43,48.82,70.75,25.49,1.87,45.04,7.37,23.63,12.96,6.12,11.71,0.643,0.534,0.763,0.654,0.53
4,Rondônia,1100023,Ariquemes,0,-9.90571,-63.0325,45.62,0.51,5.62,31.45,9.18,98.54,98.58,96.72,8.13,46.68,73.36,20.53,1.91,29.04,11.4,11.54,7.9,4.36,4.36,0.702,0.6,0.806,0.716,0.53
5,Rondônia,1100452,Buritis,0,-10.1943,-63.8324,29.42,0.45,6.12,18.23,8.3,90.12,94.44,96.4,4.03,51.51,70.08,27.54,2.57,41.94,13.51,20.83,9.85,3.8,9.18,0.616,0.479,0.751,0.65,0.5
6,Rondônia,1100031,Cabixi,0,-13.4945,-60.552,29.79,0.44,0.84,20.42,10.09,95.49,96.36,99.14,4.93,48.12,70.39,26.58,2.15,46.98,3.31,21.2,13.63,6.87,7.27,0.65,0.559,0.757,0.65,0.51
7,Rondônia,1100601,Cacaulândia,0,-10.349,-62.9043,24.26,0.55,6.12,14.19,9.44,93.68,94.16,96.1,3.59,53.74,73.08,19.05,2.53,45.4,10.75,22.02,13.22,5.93,8.8,0.646,0.506,0.801,0.664,0.56
8,Rondônia,1100049,Cacoal,0,-11.4343,-61.4562,42.5,0.61,3.39,28.06,9.74,97.96,98.89,98.17,8.71,43.79,74.27,15.38,1.9,29.82,1.85,13.08,8.29,5.57,5.97,0.718,0.62,0.821,0.727,0.57
9,Rondônia,1100700,Campo Novo de Rondônia,0,-10.5712,-63.6266,21.65,0.79,0.86,10.47,7.86,91.75,84.79,90.17,2.95,53.14,71.34,23.75,2.73,54.43,16.2,31.24,12.31,3.58,15.58,0.593,0.404,0.772,0.667,0.67
